Sample in Buffer,Sample in Window,TRIGGER,design_1_i/probe0_0_1,design_1_i/Rx_0_1,design_1_i/connect_UART_RX_0_data_out[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
0,0,0,1,1,00
1,1,0,1,1,00
2,2,0,1,1,00
3,3,0,1,1,00
4,4,0,1,1,00
5,5,0,1,1,00
6,6,0,1,1,00
7,7,0,1,1,00
8,8,0,1,1,00
9,9,0,1,1,00
10,10,0,1,1,00
11,11,0,1,1,00
12,12,0,1,1,00
13,13,0,1,1,00
14,14,0,1,1,00
15,15,0,1,1,00
16,16,0,1,1,00
17,17,0,1,1,00
18,18,0,1,1,00
19,19,0,1,1,00
20,20,0,1,1,00
21,21,0,1,1,00
22,22,0,1,1,00
23,23,0,1,1,00
24,24,0,1,1,00
25,25,0,1,1,00
26,26,0,1,1,00
27,27,0,1,1,00
28,28,0,1,1,00
29,29,0,1,1,00
30,30,0,1,1,00
31,31,0,1,1,00
32,32,0,1,1,00
33,33,0,1,1,00
34,34,0,1,1,00
35,35,0,1,1,00
36,36,0,1,1,00
37,37,0,1,1,00
38,38,0,1,1,00
39,39,0,1,1,00
40,40,0,1,1,00
41,41,0,1,1,00
42,42,0,1,1,00
43,43,0,1,1,00
44,44,0,1,1,00
45,45,0,1,1,00
46,46,0,1,1,00
47,47,0,1,1,00
48,48,0,1,1,00
49,49,0,1,1,00
50,50,0,1,1,00
51,51,0,1,1,00
52,52,0,1,1,00
53,53,0,1,1,00
54,54,0,1,1,00
55,55,0,1,1,00
56,56,0,1,1,00
57,57,0,1,1,00
58,58,0,1,1,00
59,59,0,1,1,00
60,60,0,1,1,00
61,61,0,1,1,00
62,62,0,1,1,00
63,63,0,1,1,00
64,64,0,1,1,00
65,65,0,1,1,00
66,66,0,1,1,00
67,67,0,1,1,00
68,68,0,1,1,00
69,69,0,1,1,00
70,70,0,1,1,00
71,71,0,1,1,00
72,72,0,1,1,00
73,73,0,1,1,00
74,74,0,1,1,00
75,75,0,1,1,00
76,76,0,1,1,00
77,77,0,1,1,00
78,78,0,1,1,00
79,79,0,1,1,00
80,80,0,1,1,00
81,81,0,1,1,00
82,82,0,1,1,00
83,83,0,1,1,00
84,84,0,1,1,00
85,85,0,1,1,00
86,86,0,1,1,00
87,87,0,1,1,00
88,88,0,1,1,00
89,89,0,1,1,00
90,90,0,1,1,00
91,91,0,1,1,00
92,92,0,1,1,00
93,93,0,1,1,00
94,94,0,1,1,00
95,95,0,1,1,00
96,96,0,1,1,00
97,97,0,1,1,00
98,98,0,1,1,00
99,99,0,1,1,00
100,100,0,1,1,00
101,101,0,1,1,00
102,102,0,1,1,00
103,103,0,1,1,00
104,104,0,1,1,00
105,105,0,1,1,00
106,106,0,1,1,00
107,107,0,1,1,00
108,108,0,1,1,00
109,109,0,1,1,00
110,110,0,1,1,00
111,111,0,1,1,00
112,112,0,1,1,00
113,113,0,1,1,00
114,114,0,1,1,00
115,115,0,1,1,00
116,116,0,1,1,00
117,117,0,1,1,00
118,118,0,1,1,00
119,119,0,1,1,00
120,120,0,1,1,00
121,121,0,1,1,00
122,122,0,1,1,00
123,123,0,1,1,00
124,124,0,1,1,00
125,125,0,1,1,00
126,126,0,1,1,00
127,127,0,1,1,00
128,128,0,1,1,00
129,129,0,1,1,00
130,130,0,1,1,00
131,131,0,1,1,00
132,132,0,1,1,00
133,133,0,1,1,00
134,134,0,1,1,00
135,135,0,1,1,00
136,136,0,1,1,00
137,137,0,1,1,00
138,138,0,1,1,00
139,139,0,1,1,00
140,140,0,1,1,00
141,141,0,1,1,00
142,142,0,1,1,00
143,143,0,1,1,00
144,144,0,1,1,00
145,145,0,1,1,00
146,146,0,1,1,00
147,147,0,1,1,00
148,148,0,1,1,00
149,149,0,1,1,00
150,150,0,1,1,00
151,151,0,1,1,00
152,152,0,1,1,00
153,153,0,1,1,00
154,154,0,1,1,00
155,155,0,1,1,00
156,156,0,1,1,00
157,157,0,1,1,00
158,158,0,1,1,00
159,159,0,1,1,00
160,160,0,1,1,00
161,161,0,1,1,00
162,162,0,1,1,00
163,163,0,1,1,00
164,164,0,1,1,00
165,165,0,1,1,00
166,166,0,1,1,00
167,167,0,1,1,00
168,168,0,1,1,00
169,169,0,1,1,00
170,170,0,1,1,00
171,171,0,1,1,00
172,172,0,1,1,00
173,173,0,1,1,00
174,174,0,1,1,00
175,175,0,1,1,00
176,176,0,1,1,00
177,177,0,1,1,00
178,178,0,1,1,00
179,179,0,1,1,00
180,180,0,1,1,00
181,181,0,1,1,00
182,182,0,1,1,00
183,183,0,1,1,00
184,184,0,1,1,00
185,185,0,1,1,00
186,186,0,1,1,00
187,187,0,1,1,00
188,188,0,1,1,00
189,189,0,1,1,00
190,190,0,1,1,00
191,191,0,1,1,00
192,192,0,1,1,00
193,193,0,1,1,00
194,194,0,1,1,00
195,195,0,1,1,00
196,196,0,1,1,00
197,197,0,1,1,00
198,198,0,1,1,00
199,199,0,1,1,00
200,200,0,1,1,00
201,201,0,1,1,00
202,202,0,1,1,00
203,203,0,1,1,00
204,204,0,1,1,00
205,205,0,1,1,00
206,206,0,1,1,00
207,207,0,1,1,00
208,208,0,1,1,00
209,209,0,1,1,00
210,210,0,1,1,00
211,211,0,1,1,00
212,212,0,1,1,00
213,213,0,1,1,00
214,214,0,1,1,00
215,215,0,1,1,00
216,216,0,1,1,00
217,217,0,1,1,00
218,218,0,1,1,00
219,219,0,1,1,00
220,220,0,1,1,00
221,221,0,1,1,00
222,222,0,1,1,00
223,223,0,1,1,00
224,224,0,1,1,00
225,225,0,1,1,00
226,226,0,1,1,00
227,227,0,1,1,00
228,228,0,1,1,00
229,229,0,1,1,00
